Type,Udbudsform,Energimærke,Varmekilde,Byggeår,Rum,Bad,Toilet,Plan,Boligareal,Kælder,Garage,Grundareal,Kontantpris,Ejerudgift,address,Ombygget,Carport,Udhus,Fritliggende overdækning,Etage,Leje pr. md.,Depositum,Udestue,Ukendt bygning,Vindfang,Overdækket areal,Overdækning,Hønsehus,Legehus,Lade og garage,Tiloversbleven landbrugsbygning,Udhus (gildesal),Erhverv,Købspris,Teknisk Pris,Ydelse,Drivhus,"Stald til kvæg, får mv.","Maskinhus, garage mv.","Lade til foder, afgrøder mv.",pulterrum,Fritliggende udestue,Væksthus,Bygning til industri uden integreret produktionsapparat,Altan,Skur,,overdækket areal,Anneks,Anneks i tilknytning til helårsbolig.,Anden bygning til landbrug mv.,altan/terrasse,Overdækket terrasse,Lade/garage,Maskinhus,"(UDFASES) Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign",Pulterrum,kælderrum,Pejsestue,Stald,Lade,Kælderrum,Loftrum,Altan ,Anneks i tilknytning til fritids- og sommerhus,Fritliggende enfamiliehus,"Lade til halm, hø mv.",Ukendt,Depotrum ,Fyrrum,Værksted,Maskinhus&nbsp;,Staldbygning,altan,Drivhus 2,Sommerhus,kælder,Redskabsrum,Garage/udhus,Bolig,Disp. rum,Brændeskur,Anden bygning til serviceerhverv,Udestue ,Stald til svin,Stald til fjerkræ,Bygning til kontor,Landbrugsbygning,Svinestald,tagetage,Cykelskur,Udhuse,Bygning til detailhandel,udestue,garage/udhus,værksted,"maskinhus, garage mv.",Andre bygninger til landbrug mv.,Overdækning/brændeskur,Indendørs swimmingpool rum,Overdækkede arealer,Carport/udhus,Fællesrum i bygning 2 (værksted) ,Carport/Skur,altan/tagterrasse,areal af åben altan/tagterrasse,Anneks indeholdt i det samlede boligareal,Depotrum,Bygning til lager,Overdækket terrasse ,"Anden bygning til transport, handel etc",Værksted 109 m2 + 3 vær. til bolig 94 m2,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri",Underetage,Hestestald,Ridehal,Anden bygning til fritidsformål,Beboelse,Swimming pool,Erhverv - Værksted/Lade bygning,"Nørrebro 8B, stuen Værksted ",Andel fælleshus,Kælder under garage,balkonareal,Lagerbygning,Anden bygning til institutionsformål,Kælderum ,Pulterrum på loftet,Loftværelse ,"Kælder, jf. BBR-meddelelse",Stald&nbsp;,Pavillon,tagterrasse,Gammel mølle - bygning til fritidsformål,Badeværelse i kælder godkendt til beboelse,Parkeringspergola,anden villa,"Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign",Hundehus,Bygning til erhvervsmæssig produktion,Bygning til erhvervsmæssig produktion i,210,Anden bygning til produktion,Fritliggende udhus,Pulterrum i kælder,Anden bygning til helårsbeboelse,Orangeri,Overdækket areal ,Teknikrum,Isoleret skur/disponibelt rum,Overdækket terasse,staldbygning,maskinhus,Værksted/erhverv,Garage/Værksted,Lejlighed,Altan/terrasse,hobbyrum/indbygget udhus,stue/udestue,Depotrum i kælder,Bygning til træning og opstaldning af heste,Udekøkken/Udhus,Brugsret kælderrum,Erhvervsdel,Andel i fællesareal,Udhus/Værksted,Overterrasse/overdækning,Vaskehus,Overdækket altan,Erhvervsareal,Anneks med erhvervsstatus,Overdækket terrasse jf. fælles BBR,Overdækket arealt,Minkhal,Lysthus (ikke registreret på BBR),Garage (ikke registreret på BBR),Loftsrum,depotrum,Bygning til parkering af flere end to køretøjer i tilknytning til boliger,Kælder i maskinhus,Garage i kælder,hems og loftrum,øvrige arealer,Dobbelthus,Bygning til parkering- og transportanlæg,Fordelingstal:   238/710,Altan på ca. 6m2,Uudmyttet loftsrum,Værksted/udhus,overdækning,Erhverv - Anden bygning til landbrug mv.,"Erhverv - Lade til foder, afgrøder mv.",Strygestue,Skabsrum,Viktuolierum,Kælderum,garage,Erhverv. Heraf er 30m² udhus inkluderet.,Carport/Udhus,Voliere,Havepavillion,Carport/skur,udhus med indbygget carport på 21 kvm
Villa,Salg,D,Fjernvarme,1972,4,1,2,3,170,50,32,818,3.998.000,2.976,Januarvej 5 8210 Aarhus V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme/blokvarme,1974,4,1,1,1,135,,,852,2.795.000,2.593,"Ildfuglevænget 37, Hjallese 5260 Odense S",2005,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme,2006,7,2,2,1,178,,,822,3.850.000,3.259,"Søvangsparken 51, Revninge 5300 Kerteminde",,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,E,Centralvarme med én fyringsenhed,1930,7,2,2,1,234,40,,1.090,19.495.000,10.876,Schimmelmannsvej 9 2930 Klampenborg,2013,,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lejlighed,Leje,E,Centralvarme med én fyringsenhed,1923,5,1,1,1,114,,,3.001,,,"Stationsvej 42, 1. 3460 Birkerød",2021,,,,1.,14.000/md.,42.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Centralvarme med én fyringsenhed,1988,4,2,2,1,133,,,785,4.995.000,3.403,Baunebjergvej 125A 3050 Humlebæk,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,C,Fjernvarme,1922,3,2,2,2,127,28,47,496,1.945.000,2.523,"Sophievej 2, Boldesager 6700 Esbjerg",,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rækkehus,Salg,,Fjernvarme,2023,4,1,2,2,96,,,81,2.995.000,2.394,Skæring Fælled 28 8250 Egå,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa / Fritidsbolig,Salg,D,Fjernvarme/blokvarme,1928,4,1,2,3,100,38,,524,,,"Østergade 16, Lohals 5953 Tranekær",,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villa,Salg,D,Naturgas,1941,3,1,2,2,86,83,,926,5.495.000,5.909,Plantagevej 6 3460 Birkerød,2000,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
